el article	el	article	masculine singular definite article; the		
chino noun	chino	noun	Chinese person	La china es médica en Madrid.	The Chinese woman is a doctor in Madrid.
sentido noun	sentido	noun	sense, meaning	En ese sentido, estoy de acuerdo.	In that sense, I agree.
amiga noun	amiga	noun	female equivalent of amigo, friend	Busco una amiga para practicar español.	I'm looking for a female friend to practice Spanish.
parque noun	parque	noun	park	Vamos al parque después de clase.	We're going to the park after class.
papel noun	papel	noun	paper	Escribe tu nombre en este papel blanco.	Write your name on this white paper.
significar verb	significar	verb	to signify	Esto no significará el fin.	This will not mean the end.
alrededor noun	alrededor	noun	surroundings	Los alrededores del colegio son seguros.	The area around the school is safe.
alrededor adv	alrededor	adv	around (from place to place)	Miré alrededor y no vi a nadie.	I looked around and didn't see anyone.
hotel noun	hotel	noun	hotel	Cerca del hotel hay una estación de metro.	There is a subway station near the hotel.
necesario adj	necesario	adj	necessary, requisite	Es necesario estudiar todos los días.	It is necessary to study every day.
fuego noun	fuego	noun	fire	No juegues con fuego, es peligroso.	Don't play with fire, it's dangerous.
revisar verb	revisar	verb	to revise	Deberíamos revisar juntos estas preguntas.	We should review these questions together.
fuego intj	fuego	intj	fire! (cry to order soldiers to start shooting)	Antes de decir ¡Fuego!, revisaron la seguridad.	Before saying "Fire!", they checked the safety.
odio noun	odio	noun	hate, hatred, loathing (strong aversion; intense dislike)	No permitamos que el odio crezca.	Let's not let hate grow.
siete num	siete	num	seven	Tengo siete libros en casa.	I have seven books at home.
siete noun	siete	noun	seven	Contamos hasta el siete en voz alta.	We counted up to seven out loud.
oportunidad noun	oportunidad	noun	opportunity, chance, shot, break, occasion, time (in both senses: “chance for advancement, progress or profit” and “favorable circumstance or occasion”)	Tuve la oportunidad de conocerla ayer.	I had the opportunity to meet her yesterday.
manchar verb	manchar	verb	to deflower to spot, stain, mark, to smudge to sully, to tarnish, to taint, to soil, to besmirch, to smear (one's name, reputation, honour, spirit, etc.)   	xxx	xxx
vivo adj	vivo	adj	alive, living (having life)	El pez todavía está vivo.	The fish is still alive.
sitio noun	sitio	noun	site, place	Busco un sitio tranquilo para leer.	I'm looking for a quiet place to read.
vista noun	vista	noun	sight, vision, eyesight (the ability to see)	Mi vista ha mejorado este año.	My eyesight has improved this year.
volar verb	volar	verb	to fly, to fly away	Mañana volaremos temprano hacia Madrid.	Tomorrow we will fly early to Madrid.
previsto adj	previsto	adj	expected, predicted	La lluvia prevista llegará mañana temprano.	The expected rain will arrive early tomorrow.
proporcional adj	proporcional	adj	proportional	xxx	xxx
pena noun	pena	noun	punishment	Las penas previstas son proporcionales.	The prescribed penalties are proportional.
hambre noun	hambre	noun	hunger	Muchos niños pasan hambre en el mundo.	Many children go hungry in the world.
abandonar verb	abandonar	verb	to abandon, to leave	No debemos abandonar nuestros sueños.	We should not abandon our dreams.
correcto adj	correcto	adj	correct, right	Tu respuesta es correcta y clara.	Your answer is correct and clear.
cuidar verb	cuidar	verb	to take care of, to care for	Prometí cuidar mejor mi salud.	I promised to take better care of my health.
cerveza noun	cerveza	noun	beer	Me gusta la cerveza fría.	I like cold beer.
playa noun	playa	noun	beach	Vamos a la playa mañana temprano.	We're going to the beach early tomorrow.
estrella noun	estrella	noun	star (celestial body)	Contamos las estrellas desde la playa en verano.	We count the stars from the beach in summer.
cuerpo noun	cuerpo	noun	body, corpse	Encontraron un cuerpo en el río.	They found a body in the river.
invitar verb	invitar	verb	to invite	Me han invitado a una conferencia mañana.	I've been invited to a conference tomorrow.
cenar verb	cenar	verb	to dine; to have supper; to have a lavish meal	¿Quieres cenar con nosotros hoy?	Do you want to have dinner with us today?
reír verb	reír	verb	to laugh	Nunca he reído tan fuerte.	I have never laughed so hard.
verdadero adj	verdadero	adj	true, real	Encontramos una verdadera oportunidad de aprendizaje.	We found a real learning opportunity.
admitir verb	admitir	verb	to accept, to admit, to agree to, to concede	¿Puedes admitir que necesitas ayuda ahora?	Can you admit that you need help now?
azul adj	azul	adj	blue	El cielo está muy azul hoy.	The sky is very blue today.
azul noun	azul	noun	blue	Me impresionó el azul de sus ojos esa tarde.	I was impressed by the blue of their eyes that afternoon.
tuyo pron	tuyo	pron	yours	Estos zapatos no son los tuyos.	These shoes aren’t yours.
tuyo det	tuyo	det	yours, your	Ese libro tuyo me encanta.	I love that book of yours.
tío noun	tío	noun	uncle (the brother, brother-in-law, or male cousin or cousin-in-law of either parent)	Mis tíos nos visitan cada verano.	My aunts and uncles visit us every summer.
siquiera adv	siquiera	adv	at least, at the least	Ven a visitarnos siquiera el fin de semana.	Come visit us at least on the weekend.
ambos adj	ambos	adj	both	Ambos equipos jugaron muy bien hoy.	Both teams played very well today.
ambos pron	ambos	pron	both	Ambos llegaron tarde a clase.	Both arrived late to class.
enviar verb	enviar	verb	to send	He enviado todo lo que pediste.	I have sent everything you asked for.
dólar noun	dólar	noun	dollar (designation for specific currency)	¿Cuánto cuesta este libro usado en dólares?	How much does this used book cost in dollars?
evitar verb	evitar	verb	to avoid, to bypass, to evade, to circumvent, to dodge, to shun, to eschew (to steer clear of)	¿Podemos evitar este problema juntos?	Can we avoid this problem together?
vuelta noun	vuelta	noun	turn	Necesitas una vuelta más para ganar.	You need one more lap to win.
apenas adv	apenas	adv	barely, scarcely	Estaba tan cansada que apenas abría los ojos.	I was so tired that I could barely open my eyes.
peor adj	peor	adj	comparative degree of malo: worse	Ese momento fue peor que el anterior.	That moment was worse than the previous one.
peor adv	peor	adv	comparative degree of mal: worse	Escribo peor cuando estoy cansado.	I write worse when I am tired.
elegir verb	elegir	verb	to choose	Hemos elegido trabajar desde casa hoy.	We have chosen to work from home today.
cumpleaños noun	cumpleaños	noun	birthday	Voy a una fiesta de cumpleaños.	I'm going to a birthday party.
partir verb	partir	verb	to divide, split	Están partiendo la cuenta en partes iguales.	They are splitting the bill equally.
famoso adj	famoso	adj	well-known, famous	Visitamos una ciudad famosa por sus playas.	We visited a city famous for its beaches.
famoso noun	famoso	noun	celebrity, famous person	Conocimos a un famoso en Madrid.	We met a celebrity in Madrid.
bailar verb	bailar	verb	to dance	Estoy bailando porque la música suena muy bien.	I'm dancing because the music sounds really good.
prohibir verb	prohibir	verb	to forbid, prohibit, enjoin	Nos prohibieron hablar durante el examen.	We were forbidden to speak during the exam.
bar noun	bar	noun	bar, coffee shop, café, pub (an establishment where refreshments and alcohol drinks are served)	Prefiero los bares tranquilos con música suave.	I prefer quiet bars with soft music.
ley noun	ley	noun	law (particular piece of legislation)	Esta ley prohíbe fumar en bares.	This law prohibits smoking in bars.
laudatorio adj	laudatorio	adj	laudatory	xxx	xxx
homenajeado noun	homenajeado	noun	guest of honour	xxx	xxx
oración noun	oración	noun	oration	Escribieron una oración laudatoria para el homenajeado.	They wrote a laudatory oration for the honoree.
raro adj	raro	adj	rare	Es muy raro encontrar esa planta.	It is very rare to find that plant.
luego adv	luego	adv	then (afterward)	Primero escucha, luego haz tus preguntas.	First listen, then ask your questions.
luego conj	luego	conj	therefore (consequently)	Eres menor, luego no puedes entrar.	You're underage, so you can't enter.
hospital noun	hospital	noun	hospital	El hospital está cerca de mi casa.	The hospital is near my house.
futuro adj	futuro	adj	future (occurring in the future)	La reunión futura será más corta.	The future meeting will be shorter.
futuro noun	futuro	noun	future, future tense	En el futuro quiero viajar más y aprender idiomas.	In the future I want to travel more and learn languages.
suceder verb	suceder	verb	to happen, to befall, to occur	Eso no volverá a suceder.	That won't happen again.
abierto adj	abierto	adj	open, unlocked (not closed, accessible)	Dejaron la ventana abierta toda la noche.	They left the window open all night.
tenis noun	tenis	noun	tennis	Me gusta ver partidos de tenis los fines de semana.	I like to watch tennis matches on weekends.
lavar verb	lavar	verb	to wash	Mañana lavaremos la ropa juntos.	Tomorrow we'll do the laundry together.
descubrir verb	descubrir	verb	to discover	Yo descubro nuevas palabras cada día.	I discover new words every day.
pasear verb	pasear	verb	to stroll, to saunter, to promenade	Yo paseo por el parque cada mañana.	I walk through the park every morning.
barco noun	barco	noun	boat (usually with a concave hull)	Compraron un barco para pasear.	They bought a boat to go for rides.
triste adj	triste	adj	sad, saddened, blue, gloomy, unhappy, joyless, triste	Sus palabras tristes me tocaron el corazón.	Their sad words touched my heart.
suponer verb	suponer	verb	to suppose, to surmise, to assume, to guess, to imagine, to figure, to say, to take it	Se supone que debes estudiar.	You're supposed to study.
ojalá adv	ojalá	adv	hopefully (I hope that)	Ojalá puedas venir a cenar.	I hope you can come for dinner.
ojalá intj	ojalá	intj	I hope so; let's hope so	Ojalá.	I hope so.
ruido noun	ruido	noun	noise, racket, rattle, clatter, sound (various sounds, usually unwanted)	Escuchamos un ruido extraño anoche.	We heard a strange noise last night.
odiar verb	odiar	verb	to hate, to loathe	De niño, odiaba comer verduras.	As a child, I hated eating vegetables.
novela noun	novela	noun	novel	Prefiero la novela a la película.	I prefer the novel to the movie.
restaurante noun	restaurante	noun	restaurant	Compararon varios restaurantes antes de elegir uno para la reunión.	They compared several restaurants before choosing one for the meeting.
boca noun	boca	noun	mouth, oral cavity	Me lavé bien la boca después de comer.	I rinsed my mouth thoroughly after eating.
patrullar verb	patrullar	verb	to patrol	xxx	xxx
guardia noun	guardia	noun	custodian, warden (male)	Los guardias patrullan el parque por la noche.	The guards patrol the park at night.
doctor noun	doctor	noun	physician	Los doctores trabajan de guardia por la noche.	The doctors work on call at night.
consejo noun	consejo	noun	advice, counsel, piece of advice	Gracias por el consejo; me ayudó mucho.	Thank you for the advice; it helped me a lot.
justo adv	justo	adv	right, just	Llegaste justo a tiempo hoy.	You arrived just in time today.
distribución noun	distribución	noun	distribution	xxx	xxx
justo adj	justo	adj	just	La distribución justa de recursos beneficia a todos.	The fair distribution of resources benefits everyone.
resultado noun	resultado	noun	result, outcome, finding, upshot	Buscamos un mejor resultado para todos.	We seek a better outcome for everyone.
crear verb	crear	verb	to create	Ella creó una cuenta nueva hoy.	She created a new account today.
recoger verb	recoger	verb	to collect, to gather, to pick up, to fetch, to retrieve (something previously left behind)	Ella recogió las llaves que había dejado.	She picked up the keys she had left.
suelo noun	suelo	noun	dirt; earth; ground; soil	Recoge ese papel del suelo, por favor.	Pick up that paper from the floor, please.
serio adj	serio	adj	serious, earnest, sober, solemn (without humor)	La situación es bastante seria hoy.	The situation is quite serious today.
frente noun	frente	noun	forehead, brow	Me duele la frente desde ayer.	My forehead has been hurting since yesterday.
fútbol noun	fútbol	noun	football (soccer)	Me encanta jugar al fútbol con mis amigos.	I love playing soccer with my friends.
temer verb	temer	verb	to fear	Yo temo hablar en público.	I fear speaking in public.
precio noun	precio	noun	price	Busco el mejor precio posible.	I am looking for the best possible price.
según prep	según	prep	according to	Según mi madre, hoy lloverá bastante.	According to my mother, it will rain quite a lot today.
detener verb	detener	verb	to detain	Ayer detuvieron a varias personas sin violencia.	Yesterday several people were arrested without violence.
viento noun	viento	noun	wind (the movement of air)	Con mucho viento, es difícil andar en bicicleta.	In strong winds, it is difficult to ride a bicycle.
uva noun	uva	noun	grape	Compré uvas frescas en el mercado hoy.	I bought fresh grapes at the market today.
paso adj	paso	adj	dried (said of fruit)	Compré uvas pasas para la receta.	I bought raisins for the recipe.
paso noun	paso	noun	pace (rough distance of a brisk stride)	La plaza queda a pocos pasos.	The square is a few steps away.
abuelo noun	abuelo	noun	grandfather	Mi abuelo cuenta historias todas las noches.	My grandfather tells stories every night.
llama noun	llama	noun	flame	El viento hace bailar las llamas.	The wind makes the flames dance.
apagar verb	apagar	verb	to extinguish (a flame, fire), to douse	No pudimos apagar las llamas a tiempo.	We couldn't put out the flames in time.
inteligente adj	inteligente	adj	intelligent	Ella es muy inteligente y trabajadora.	She is very intelligent and hardworking.
paz noun	paz	noun	peace (warlessness)	Queremos vivir en paz con todos.	We want to live in peace with everyone.
banco noun	banco	noun	bank (financial institution)	Ayer fui al banco para abrir una cuenta nueva.	Yesterday I went to the bank to open a new account.
presentar verb	presentar	verb	to present, to submit	Ella presentará su proyecto mañana.	She will present her project tomorrow.
aparecer verb	aparecer	verb	to appear, to turn up, to pop up, to come up	Siempre aparecemos tarde a las reuniones.	We always show up late to meetings.
vecino noun	vecino	noun	neighbour (a person living on adjacent or nearby land)	Los niños jugaron con sus vecinos.	The children played with their neighbors.
vecino adj	vecino	adj	neighboring, adjacent	Visitamos las ciudades vecinas el domingo.	We visited the neighboring cities on Sunday.
tarifa noun	tarifa	noun	fare (money paid for a transport ticket) fee	xxx	xxx
horario adj	horario	adj	hourly	La tarifa horaria subirá el lunes.	The hourly rate will go up on Monday.
horario noun	horario	noun	timetable, schedule	Nuestros horarios de atención cambian los fines de semana.	Our business hours change on weekends.
cambio noun	cambio	noun	change, shift	Este cambio de horario beneficia a todos.	This schedule change benefits everyone.
avanzar verb	avanzar	verb	to advance (to move forwards)	Estamos avanzando paso a paso cada día.	We are moving forward step by step every day.
cambio intj	cambio	intj	over	Esperando instrucciones para avanzar, cambio.	Awaiting instructions to proceed, over.
mandar verb	mandar	verb	to send	Nos mandaron fotos desde la playa.	They sent us photos from the beach.
invierno noun	invierno	noun	winter	En invierno hace mucho frío.	In winter it is very cold.
adecuado adj	adecuado	adj	adequate	Busca un momento adecuado para hablar.	Find a suitable time to talk.
universidad noun	universidad	noun	college	Elegir la universidad adecuada puede cambiar tu futuro.	Choosing the right university can change your future.
rey noun	rey	noun	king	El rey visitó la ciudad ayer.	The king visited the city yesterday.
bello adj	bello	adj	beautiful, fair	Tu sonrisa es realmente bella.	Your smile is really beautiful.
fuerza noun	fuerza	noun	force	Necesito más fuerza para levantar estas cajas.	I need more strength to lift these boxes.
abuso noun	abuso	noun	abuse overuse	xxx	xxx
enemigo noun	enemigo	noun	foe; enemy	Mis enemigos no me conocen realmente.	My enemies don't really know me.
duda noun	duda	noun	doubt	Resolvimos las dudas en clase.	We answered the questions in class.
casado adj	casado	adj	married	Ellos llevan diez años casados.	They have been married for ten years.
casado noun	casado	noun	a married man	Vi a varios casados en la reunión.	I saw several married people at the meeting.
besar verb	besar	verb	to kiss	Si me besaras, me sentiría mucho mejor.	If you kissed me, I would feel much better.
lingote noun	lingote	noun	ingot	xxx	xxx
acorazado adj	acorazado	adj	armoured, armored ironclad	xxx	xxx
cámara noun	cámara	noun	room	El banco protege sus lingotes en una cámara acorazada.	The bank protects its ingots in a vault.
arreglar verb	arreglar	verb	to fix, to repair, to mend	Si arreglas esto, te invito a cenar.	If you fix this, I'll treat you to dinner.
tonto adj	tonto	adj	stupid	No seas tonto, piensa mejor.	Don't be silly, think more carefully.
tonto noun	tonto	noun	a fool, a stupid person	Ese tonto siempre pierde las llaves.	That fool always loses his keys.
producto noun	producto	noun	product, commodity, item	Este producto tiene instrucciones muy claras.	This product has very clear instructions.
lectura noun	lectura	noun	reading	Me encanta la lectura antes de dormir.	I love reading before bed.
local adj	local	adj	local	La biblioteca local ofrece clases de lectura.	The local library offers reading classes.
local noun	local	noun	premises, rooms	Visitamos el local nuevo del barrio.	We visited the new place in the neighborhood.
verde adj	verde	adj	green (eco-friendly)	Prefiero comprar productos verdes y locales cuando es posible.	I prefer to buy green and local products when possible.
verde noun	verde	noun	green (color/colour)	Pintaron la pared con un verde suave.	They painted the wall a soft green.
culpa noun	culpa	noun	fault	No fue mi culpa esta vez.	It wasn't my fault this time.
enfermedad noun	enfermedad	noun	illness, disease	El médico explicó la enfermedad claramente.	The doctor explained the illness clearly.
equivocado adj	equivocado	adj	mistaken, wrong	Admitió que había estado equivocada antes.	She admitted that she had been wrong before.
completamente adv	completamente	adv	completely	Estoy completamente de acuerdo contigo.	I completely agree with you.
diente noun	diente	noun	tooth (anatomy)	Perdí un diente de leche.	I lost a baby tooth.
alegrar verb	alegrar	verb	to make happy	Esa canción siempre me alegra.	That song always cheers me up.
libertad noun	libertad	noun	liberty, freedom	Buscamos libertad para pensar y crear.	We seek freedom to think and create.
obra noun	obra	noun	work (usually literary or artistic)	La obra trata sobre la libertad.	The play is about freedom.
comprender verb	comprender	verb	to understand, to comprehend	Comprendimos poco cuando llegamos tarde.	We understood little when we arrived late.
paquete noun	paquete	noun	parcel	Estoy esperando un paquete de mi hermano.	I am waiting for a package from my brother.
sal noun	sal	noun	salt; table salt	Compré un paquete de sal para la cocina.	I bought a package of salt for the kitchen.
causa noun	causa	noun	cause	La causa del accidente fue la nieve.	The cause of the accident was the snow.
tirar verb	tirar	verb	to throw, to toss	Vamos a tirar los papeles viejos.	We are going to throw away the old papers.
merecer verb	merecer	verb	to deserve	Trabajamos mucho y merecíamos mejores resultados.	We worked a lot and deserved better results.
rato noun	rato	noun	a while, bit (a short period of time)	Esperamos un rato y entramos.	We waited a while and went in.
cocinar verb	cocinar	verb	to cook	¿Podemos cocinar juntos esta noche?	Can we cook together tonight?
sede noun	sede	noun	office seat, headquarters see venue	xxx	xxx
compañía noun	compañía	noun	company	La compañía tiene sedes en varias ciudades.	The company has offices in several cities.
dulce adj	dulce	adj	sweet (having a pleasant disposition)	Mi abuelo siempre fue dulce con todos nosotros.	My grandfather was always sweet to all of us.
dulce noun	dulce	noun	candy, sweet	Después de comer, quiero un dulce pequeño.	After eating, I want a small candy.
imposible adj	imposible	adj	impossible	Es imposible terminar todo hoy.	It is impossible to finish everything today.
plato noun	plato	noun	plate, dish (crockery)	Puse la manzana en el plato.	I put the apple on the plate.
cena noun	cena	noun	supper, dinner	¿A qué hora es la cena?	What time is dinner?
estúpido adj	estúpido	adj	stupid	No quiero parecer estúpido en clase.	I don't want to look stupid in class.
brazo noun	brazo	noun	arm	Llevaba al bebé en sus brazos.	She was carrying the baby in her arms.
mensaje noun	mensaje	noun	message	No recibí tu mensaje ayer.	I didn't receive your message yesterday.
presidente noun	presidente	noun	president	El presidente habló en la televisión.	The president spoke on television.
negar verb	negar	verb	to deny	Él niega haber dicho esa mentira.	He denies having told that lie.
ocho num	ocho	num	eight (8)	Faltan ocho minutos para terminar.	There are eight minutes left to finish.
ocho noun	ocho	noun	eight	El autobús que tomamos era el ocho.	The bus we took was number eight.
modo noun	modo	noun	way, manner	De un modo amable, todo mejora.	In a kind way, everything gets better.
acusación noun	acusación	noun	accusation	xxx	xxx
credibilidad noun	credibilidad	noun	credibility	xxx	xxx
prueba noun	prueba	noun	proof; evidence (usually in the plural)	Sin pruebas, la acusación pierde credibilidad rápidamente.	Without evidence, the accusation quickly loses credibility.
sangre noun	sangre	noun	blood	Le sacaron sangre para hacer pruebas.	They drew blood for tests.
negocio noun	negocio	noun	business, enterprise (commercial enterprise or establishment)	Necesitamos un plan para hacer crecer el negocio.	We need a plan to grow the business.
bosque noun	bosque	noun	forest	Caminamos juntos por el bosque hoy.	We walked together through the forest today.
disfrutar verb	disfrutar	verb	to enjoy	Espero disfrutar de tus clases mañana.	I hope to enjoy your classes tomorrow.
pierna noun	pierna	noun	leg (lower limb of a human)	Me duele la pierna derecha hoy.	My right leg hurts today.
decisión noun	decisión	noun	decision	Su decisión final fue muy difícil.	Their final decision was very difficult.
treinta num	treinta	num	thirty	Tengo treinta años y estudio medicina.	I am thirty years old and I study medicine.
millón noun	millón	noun	million (10⁶)	Hay millones de estrellas visibles esta noche.	There are millions of stars visible tonight.
tecnológico adj	tecnológico	adj	technological (of, relating to, or involving technology)	xxx	xxx
empresa noun	empresa	noun	company	Visité varias empresas tecnológicas en Madrid.	I visited several technology companies in Madrid.
mover verb	mover	verb	to move to, to cause to	Ella mueve la mesa con cuidado.	She moves the table carefully.
principio noun	principio	noun	beginning, start, outset, get-go	Desde el principio, todo quedó claro.	From the beginning, everything was clear.
sentado adj	sentado	adj	seated	Ellas siguen sentadas esperando el autobús.	They are still sitting, waiting for the bus.
acercar verb	acercar	verb	to bring close	Acercamos las sillas para hablar mejor.	We moved the chairs closer so we could talk better.
lisa noun	lisa	noun	mullet, white mullet	En el mercado compré una lisa fresca.	I bought a fresh mullet at the market.
piedra noun	piedra	noun	stone (hard earthen substance that can form large rocks)	La piedra del camino era lisa.	The stone on the path was smooth.
sombrero noun	sombrero	noun	hat	Perdí mi sombrero en la playa ayer.	I lost my hat at the beach yesterday.
sequía noun	sequía	noun	drought	xxx	xxx
sufrir verb	sufrir	verb	to suffer (be confronted with something undesired)	Estamos sufriendo mucho por la sequía.	We are suffering a lot because of the drought.
común adj	común	adj	common, ordinary	El sentido común ayuda mucho.	Common sense helps a lot.
votar verb	votar	verb	to vote	¿Tú votarías si tuvieras la oportunidad?	Would you vote if you had the chance?
común noun	común	noun	all of the people or inhabitants of a city, town	El común de la ciudad votó unido.	The common people of the city voted as one.
caro adv	caro	adv	costly	Me salió caro olvidar la cita.	Forgetting the appointment cost me dearly.
preferir verb	preferir	verb	to prefer	Yo prefiero estudiar por la mañana.	I prefer to study in the morning.
encima adv	encima	adv	on top	El libro está encima de la mesa.	The book is on the table.
acaso adv	acaso	adv	perhaps	¿Acaso no viste el mensaje?	Didn't you see the message?
copia noun	copia	noun	copy (a duplicate of an original)	La biblioteca tiene una copia rara de ese libro.	The library has a rare copy of that book.
periódico adj	periódico	adj	periodic	Debes hacer copias de seguridad periódicas.	You should make regular backups.
periódico noun	periódico	noun	newspaper	Compré un periódico en la tienda.	I bought a newspaper at the store.
debate noun	debate	noun	discussion	El debate en clase fue interesante.	The debate in class was interesting.
político adj	político	adj	political	El debate político fue muy intenso.	The political debate was very intense.
periodista noun	periodista	noun	journalist	Muchos periodistas trabajan en equipo.	Many journalists work as a team.
político noun	político	noun	politician	El político respondió preguntas de periodistas.	The politician answered questions from journalists.
acordar verb	acordar	verb	to agree	¿Acordamos el precio final hoy?	Are we agreeing on the final price today?
dirección noun	dirección	noun	direction	Nos perdimos porque tomamos la dirección equivocada.	We got lost because we took the wrong direction.
huracán noun	huracán	noun	hurricane	xxx	xxx
consecuencia noun	consecuencia	noun	consequence	Como consecuencia del huracán, cancelaron clases.	As a consequence of the hurricane, they canceled classes.
regla noun	regla	noun	rule (regulation, norm)	Si rompes una regla, habrá consecuencias justas.	If you break a rule, there will be fair consequences.
siguiente adj	siguiente	adj	following	La clase siguiente empieza temprano.	The next class starts early.
interesar verb	interesar	verb	to interest	A mis amigos les interesa aprender idiomas.	My friends are interested in learning languages.
detrás adv	detrás	adv	behind, at the rear	El perro está detrás de la casa.	The dog is behind the house.
experiencia noun	experiencia	noun	experience	Tengo experiencia trabajando con niños.	I have experience working with children.
herramienta noun	herramienta	noun	a tool, an implement	Compramos una herramienta nueva para el jardín.	We bought a new tool for the garden.
utilizar verb	utilizar	verb	to use; to make use of; to utilize	Podemos utilizar esta herramienta para aprender.	We can use this tool to learn.
jefe noun	jefe	noun	chief; president; head; leader of a business, political party, or other organization	El jefe de la empresa llegó temprano hoy.	The boss of the company arrived early today.
cine noun	cine	noun	cinema, moviehouse	Cerraron varios cines antiguos hoy.	They closed several old movie theaters today.
reconocer verb	reconocer	verb	to recognize	Si reconocieras eso, todo mejoraría.	If you acknowledged that, everything would improve.
ordenador noun	ordenador	noun	computer	Apaga el ordenador cuando termines de estudiar.	Turn off the computer when you finish studying.
saltar verb	saltar	verb	to jump	El gato salta sobre la mesa.	The cat jumps onto the table.
centro noun	centro	noun	center	Vivimos cerca del centro histórico.	We live near the historic center.
grupo noun	grupo	noun	group	El grupo estudia para el examen.	The group studies for the exam.
democrático adj	democrático	adj	democratic (pertaining to democracy)	xxx	xxx
gobierno noun	gobierno	noun	government	Los gobiernos democráticos protegen los derechos humanos.	Democratic governments protect human rights.
divertido adj	divertido	adj	entertaining, amusing, funny	La película resultó bastante divertida anoche.	The movie turned out to be quite entertaining last night.
estado noun	estado	noun	country, land (any broad area or territory)	Los estados vecinos comparten una frontera.	The neighboring states share a border.
pieza noun	pieza	noun	piece, part	Compré una pieza de fruta fresca en el mercado.	I bought a piece of fresh fruit at the market.
acá adv	acá	adv	here	Ven acá y mira esta foto.	Come here and look at this photo.
montón noun	montón	noun	heap, pile (collection of things laid in a body, or thrown together so as to form an elevation)	El gato duerme sobre el montón de ropa.	The cat is sleeping on the pile of clothes.
carro noun	carro	noun	cart	El carro de compras está lleno.	The shopping cart is full.
tejido noun	tejido	noun	textile (a cloth)        texture (of a cloth)        tissue (a group of cells similar in origin that function together to do a specific job)        weave (a type or way of weaving)        weaving (a piece of woven material made on a loom)        	xxx	xxx
maestro noun	maestro	noun	master	Las maestras del tejido compartieron sus secretos.	The knitting teachers shared their secrets.
maestro adj	maestro	adj	master	La llave maestra abrió todas las puertas.	The master key opened all the doors.
marido noun	marido	noun	husband	Mi marido cocina los domingos.	My husband cooks on Sundays.
información noun	información	noun	information	Necesito información sobre el curso.	I need information about the course.
ajedrez noun	ajedrez	noun	chess	Aprendí ajedrez con mi abuelo.	I learned chess from my grandfather.
arte noun	arte	noun	art	El arte digital crece rápidamente en las escuelas.	Digital art is growing rapidly in schools.
correo noun	correo	noun	mail	Hoy revisé el correo temprano.	I checked my email early today.
discutir verb	discutir	verb	to discuss, to argue; to talk about	Si discutieras menos, te entenderían mejor.	If you argued less, they'd understand you better.
piso noun	piso	noun	floor, ground (surface of the earth)	Nos sentamos en el piso para jugar cartas.	We sat on the floor to play cards.
esperanza noun	esperanza	noun	hope, hopefulness	Tenemos esperanza porque trabajamos unidos.	We have hope because we work together.
simplemente adv	simplemente	adv	simply	Puedes simplemente esperar tu turno.	You can simply wait your turn.
dedo noun	dedo	noun	finger	Cuenta con los dedos de una mano.	Count on the fingers of one hand.
mente noun	mente	noun	mind, intellect	Cuida tu mente todos los días.	Take care of your mind every day.
isla noun	isla	noun	island (area of land surrounded by water)	Esa isla pequeña tiene una playa hermosa.	That small island has a beautiful beach.
caliente adj	caliente	adj	hot, warm (emitting heat or warmth)	El sol de verano es muy caliente.	The summer sun is very hot.
entrenar verb	entrenar	verb	to train	Quiero entrenar más para mejorar.	I want to train more to improve.
campeonato noun	campeonato	noun	championship	Ella entrena duro para el campeonato.	She trains hard for the championship.
peso noun	peso	noun	weight class	Ella entrena para el campeonato de peso medio.	She trains for the middleweight championship.
limpiar verb	limpiar	verb	to clean	¿Puedes limpiar la mesa antes de que lleguen?	Can you clean the table before they arrive?
piano noun	piano	noun	piano	Mi hermana practica el piano diariamente.	My sister practices the piano daily.
lentamente adv	lentamente	adv	slowly	Por favor, habla más lentamente conmigo.	Please, speak more slowly with me.
verter verb	verter	verb	to pour, spill, shed	Vierte el agua lentamente en el vaso.	Pour the water slowly into the glass.
orgulloso adj	orgulloso	adj	proud	Estoy orgulloso de mi trabajo.	I am proud of my work.
iglesia noun	iglesia	noun	church	Fuimos a la iglesia el domingo.	We went to church on Sunday.
comunidad noun	comunidad	noun	community	Nuestra comunidad celebra fiestas cada verano.	Our community celebrates festivals every summer.
devolver verb	devolver	verb	to devolve	Debemos devolver el poder de decisión a las comunidades.	We must return decision-making power to the communities.
debido adj	debido	adj	owed	Nos devolvieron el dinero debido.	They returned the money owed to us.
favorito adj	favorito	adj	favorite	Su color favorito es el azul.	Their favorite color is blue.
favorito noun	favorito	noun	favorite	No tengo un favorito claro por ahora.	I don't have a clear favorite for now.
amargo adj	amargo	adj	bitter, sour (having an acrid taste)	El café está muy amargo hoy.	The coffee is very bitter today.
ruptura noun	ruptura	noun	breaking off; breakup rupture	xxx	xxx
amargo noun	amargo	noun	bitterness	Aceptó lo amargo de la ruptura.	They accepted the bitterness of the breakup.
gusto noun	gusto	noun	taste (flavour)	El café dejó un gusto amargo en la boca.	The coffee left a bitter taste in the mouth.
alumno noun	alumno	noun	pupil, student, learner	Los alumnos trabajan en equipos pequeños.	The students work in small teams.
conclusión noun	conclusión	noun	conclusion, end	Llegó a conclusiones claras después de practicar.	They came to clear conclusions after practicing.
dato noun	dato	noun	datum (a single piece of information)	Revisa los datos antes de sacar conclusiones.	Review the data before drawing conclusions.
real adj	real	adj	real	Necesitamos datos reales para tomar decisiones.	We need real data to make decisions.
